time/time_elapsed,rollout/ep_rew_mean,time/total_timesteps,time/iterations,time/fps,rollout/ep_len_mean,train/clip_fraction,train/std,train/explained_variance,train/n_updates,train/policy_gradient_loss,train/learning_rate,train/value_loss,train/entropy_loss,train/loss,train/approx_kl,train/clip_range
101,-4.6614265,22016,86,217,194.74,0.317578125,1.030820608139038,0.9971086047589779,850,-0.03967160789761692,0.0003,0.014456978859379887,-14.471181321144105,-0.03832962363958359,0.029592995,0.2
102,-3.574736,22272,87,217,196.34,0.228125,1.030298113822937,0.9203775748610497,860,-0.030094740935601293,0.0003,0.3069123078137636,-14.486990141868592,0.00982559472322464,0.031774096,0.2
103,-3.574736,22528,88,217,196.34,0.0015625,1.029958724975586,0.026039421558380127,870,-0.007470746012404561,0.0003,340.9306791305542,-14.47745168209076,97.82955932617188,0.0028066388,0.2
104,-3.574736,22784,89,217,196.34,0.26171875,1.0331953763961792,0.9952729186043143,880,-0.03454026007093489,0.0003,0.01923230030806735,-14.48959424495697,-0.0725744217634201,0.014946463,0.2
106,-3.7171981,23040,90,217,198.85,0.09921875,1.0350596904754639,0.9814067576080561,890,-0.01113611408509314,0.0003,0.008022620793781243,-14.519378447532654,-0.021714065223932266,0.004909115,0.2
107,-3.7171981,23296,91,217,198.85,0.202734375,1.0358493328094482,0.9669661857187748,900,-0.029559528501704336,0.0003,0.26157895047217605,-14.530330586433411,0.0875210091471672,0.023060009,0.2
108,-3.6709015,23552,92,217,203.26,0.096875,1.0356695652008057,0.8639124184846878,910,-0.011919179116375744,0.0003,0.23119588086847215,-14.53215525150299,-0.0033798348158597946,0.013015598,0.2
109,-4.7624726,23808,93,217,207.4,0.143359375,1.036173939704895,0.9465947188436985,920,-0.026463289652019738,0.0003,0.16252149199135602,-14.534526324272155,0.03117803856730461,0.019793835,0.2
110,-4.7624726,24064,94,217,207.4,0.129296875,1.035312294960022,0.9644534215331078,930,-0.018740947707556188,0.0003,0.2124582702293992,-14.533318400382996,0.06193772703409195,0.00836564,0.2
111,-4.766232,24320,95,217,209.13,0.222265625,1.0395225286483765,0.990349960513413,940,-0.03182611735537648,0.0003,0.01493087135022506,-14.54616620540619,-0.04984162375330925,0.017603152,0.2
113,-4.766232,24576,96,217,209.13,0.121484375,1.0403330326080322,0.9666128642857075,950,-0.019163278641644865,0.0003,0.22455784101039172,-14.57348666191101,0.028835423290729523,0.013095427,0.2
114,-5.1888466,24832,97,217,209.74,0.194921875,1.0412135124206543,0.9395148009061813,960,-0.024575472134165464,0.0003,0.06246276437304914,-14.57669439315796,-0.02301378734409809,0.016797446,0.2
115,-4.0956187,25088,98,217,208.97,0.00078125,1.0417044162750244,-0.14438867568969727,970,-0.009460528451018035,0.0003,79.54526104927064,-14.58709900379181,21.67151641845703,0.0034087477,0.2
116,-4.115337,25344,99,217,212.53,0.000390625,1.0416371822357178,0.027359187602996826,980,-0.0029637498315423726,0.0003,346.4283052444458,-14.588159728050233,254.41749572753906,0.0013565158,0.2
117,-4.115337,25600,100,217,212.53,0.133984375,1.0417730808258057,0.7978179752826691,990,-0.016941442096140236,0.0003,0.5346121612936259,-14.58745174407959,0.11981521546840668,0.011735436,0.2
